,precision,recall,f1-score,support,accuracy
Away Win,0.5764705882352941,0.49,0.5297297297297298,200.0,0.5185185185185185
Draw,0.3181818181818182,0.32666666666666666,0.3223684210526316,150.0,0.5185185185185185
Home Win,0.5962962962962963,0.6598360655737705,0.6264591439688716,244.0,0.5185185185185185
accuracy,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
macro avg,0.4969829009044695,0.49216757741347905,0.4928524315837443,594.0,0.5185185185185185
weighted avg,0.5193900449000468,0.5185185185185185,0.5170997310307162,594.0,0.5185185185185185
